name,platform,price,discount,normal,rating,total
"Mortal Kombat XL",PS4,$4.99,75,$19.99,4.63,8029
"Rocket League® - Revenge of the Battle-Cars DLC Pack",PS4,$1.99,50,$3.99,4.4,1533
"Shantae: Friends to the End",PS4,$3.99,50,$7.99,3.33,12
"Worms™ Battlegrounds ",PS4,$6.24,75,$24.99,4.17,5194
"NBA LIVE 19: THE ONE EDITION",PS4,$9.99,75,$39.99,4.33,177
"Saban's Mighty Morphin Power Rangers: Mega Battle",PS4,$5.99,60,$14.99,4.3,638
"Torment: Tides of Numenera",PS4,$14.99,70,$49.99,4.28,173
"WipEout Omega Collection",PS4,$5.99,70,$19.99,4.78,844
"Fallout 76 Tricentennial Edition",PS4,$51.99,35,$79.99,4.76,527
"God of War",PS4,$25.99,35,$39.99,4.85,10866
"NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy",PS4,$19.99,50,$39.99,4.72,542
"The Elder Scrolls® Online: 1500 Crowns",PS4,$10.49,30,$14.99,,
"Touhou Genso Rondo: Bullet Ballet",PS4,$4.99,75,$19.99,4.52,127
"DRAGON BALL XENOVERSE 2",PS4,$19.79,67,$59.99,4.66,6907
"Metal Gear™ Solid (PS3™/PSP®)",PS3,$4.99,50,$9.99,4.93,12434
"NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy",PS4,$34.99,50,$69.99,4.86,90
"PRO EVOLUTION SOCCER 2019 STANDARD EDITION",PS4,$29.99,50,$59.99,4.25,142
"Rocket League® - Batman v Superman: Dawn of Justice Car Pack",PS4,$0.99,50,$1.99,4.22,5724
"ZONE OF THE ENDERS: The 2nd Runner - M∀RS",PS4,$14.99,50,$29.99,4.98,81
"Fallout 76",PS4,$40.19,33,$59.99,3.43,2239
"Rocket League® - DC Super Heroes DLC Pack",PS4,$1.99,50,$3.99,3.91,1154
"Shadow of the Tomb Raider - Croft Edition",PS4,$44.99,50,$89.99,4.74,215
"Spyro™ Reignited Trilogy",PS4,$29.99,25,$39.99,4.82,1096
"Warhammer 40,000: Inquisitor - Martyr | Season pass",PS4,$17.99,40,$29.99,2.94,18
