name,platform,price,discount,normal,rating,total
"Ghostbusters is Hiring: Firehouse",PS4,$6.99,0,,3.04,452
"GHOSTBUSTERS IS HIRING Firehouse + Showdown BUNDLE",PS4,$9.99,0,,4.13,24
"Ghostbusters is Hiring: Showdown",PS4,$6.99,0,,3.58,24
"Ghosts In The Toybox: Chapter 1",PS4,$14.99,0,,3.5,8
GNOG,PS4,$9.99,0,,4.68,88
"Gran Turismo Sport",PS4,$19.99,0,,4.08,4325
"Gun Club VR",PS4,$19.99,20,$24.99,4.67,6
"GUNGRAVE VR",PS4,$29.99,0,,3.33,3
"GUNGRAVE VR U.N",PS4,$14.99,0,,,
Gunjack,PS4,$2.49,50,$4.99,4.07,341
"Guns'n'Stories: Bulletproof VR",PS4,$19.99,0,,3.33,3
"Happy Drummer",PS4,$9.99,0,,4.03,32
"Harmonix Music VR",PS4,$14.99,0,,4.08,213
"Hatsune Miku: Project DIVA X",PS4,$29.99,0,,4.75,401
"Hatsune Miku: VR Future Live",PS4,Free,0,,3.92,960
Headmaster,PS4,$19.99,0,,4.59,209
"Heavy Fire: Red Shadow",PS4,$19.99,0,,3.86,7
"Here They Lie",PS4,$19.99,0,,3.97,883
HeroCade,PS4,$14.99,0,,3.39,128
"Heroes of The Seven Seas ",PS4,$6.99,0,,2.82,55
"Hex Tunnel",PS4,$4.99,0,,3.09,11
HoloBall,PS4,$14.99,0,,4.3,171
"HOMESTAR VR for PlayStation®VR",PS4,$9.99,0,,3.83,6
"Home Sweet Home",PS4,$29.99,0,,4.46,24
"Honor and Duty: Arcade Edition",PS4,$1.95,72,$6.99,3.24,201
"Honor and Duty: D-Day Beta",PS4,Free,0,,4.32,93
"Hopalong: The Badlands",PS4,$24.99,0,,,
"How We Soar",PS4,$19.99,0,,4.02,48
Hulu,PS4,Free,0,,4.01,68683
"Hustle Kings VR",PS4,$19.99,0,,2.81,32
"I Expect You To Die",PS4,$24.99,0,,4.65,570
"Inception VR",PS4,Free,0,,4.23,164
"In Death",PS4,$29.99,0,,4.64,11
"Infinite Minigolf",PS4,$14.99,0,,4.29,120
"IN THE CLOUD: VR AFTERLIFE",PS4,Free,0,,4.06,161
INVASION!,PS4,Free,0,,3.88,2376
"Island Time VR",PS4,$14.99,0,,2.95,44
"Jaunt VR: Enjoy Premium Cinematic VR Experiences",PS4,Free,0,,4.22,593
"Job Simulator",PS4,$19.99,0,,4.41,1540
"Joshua Bell VR Experience",PS4,Free,0,,4.48,389
"Justice League VR: The Complete Experience",PS4,$5.99,40,$9.99,3.23,30
"Just In Time Incorporated",PS4,$4.49,70,$14.99,4.22,36
"Keep Talking and Nobody Explodes",PS4,$7.49,50,$14.99,4.43,330
"Killing Floor: Incursion",PS4,$14.99,50,$29.99,4.52,165
KISMET,PS4,$6.99,0,,4.16,158
"Knockout League",PS4,$29.99,0,,4.68,104
"Kona VR Add-on",PS4,$5.99,0,,4.75,8
"Kona VR Bundle",PS4,$19.99,0,,3.67,3
"Konrad the Kitten",PS4,$7.49,50,$14.99,4.29,7
Korix,PS4,$19.99,0,,4.42,45
"Korix - Alien Helmet",PS4,$0.99,0,,4,1
"Korix - Anonymous Head",PS4,$0.99,0,,,
"Korix - Head Bundle",PS4,$5.49,0,,4.5,4
"Korix - Hockey Mask",PS4,$0.99,0,,5,1
"Korix - Horned Mask",PS4,$0.99,0,,5,1
"Korix - Pilot Helmet",PS4,$0.99,0,,,
"Korix - Skull",PS4,$0.99,0,,4,4
"Korix - Traditional Mask",PS4,$0.99,0,,5,1
"KYGO 'CARRY ME' VR EXPERIENCE",PS4,$1.99,0,,4.21,164
"League of War: VR Arena",PS4,$19.99,0,,3.79,39
"Leave the Nest",PS4,$12.99,0,,1,3
"LEGENDS OF CATALONIA: The Land of Barcelona",PS4,Free,0,,3.7,47
"Lens for PS VR",PS4,Free,0,,4.27,402
"Lethal VR",PS4,$3.74,75,$14.99,3.63,168
"Light Tracer",PS4,$14.99,0,,4.27,22
"Littlstar VR Cinema",PS4,Free,0,,4.43,850
"Loading Human: Chapter 1",PS4,$9.99,75,$39.99,3.42,72
"Lunar Stone: Origin of Blood",PS4,$4.99,50,$9.99,2.67,6
"Manifest 99",PS4,$5.99,0,,3.99,71
"Megadimension Neptunia VIIR",PS4,$17.99,70,$59.99,4.73,49
MEGALITH,PS4,$26.99,10,$29.99,5,4
"MEGALITH (BETA)",PS4,Free,0,,4.07,107
"Megaton Rainfall",PS4,$15.99,0,,4.22,431
"Mervils: A VR Adventure",PS4,$7.99,60,$19.99,4.09,160
"Mind Labyrinth VR Dreams",PS4,$24.99,0,,2,3
"MLB Home Run Derby VR",PS4,$19.99,0,,3.75,12
"MONSTER OF THE DEEP: FINAL FANTASY XV",PS4,$29.99,0,,4.35,103
"Moonshot Galaxy™",PS4,$9.99,0,,4.18,28
"Mortal Blitz",PS4,$19.99,0,,4.36,410
Moss,PS4,$22.49,25,$29.99,4.8,543
"Moss Demo",PS4,Free,0,,4.71,14
"Moss + Soundtrack Bundle",PS4,$26.24,25,$34.99,5,1
"Moto Racer 4",PS4,$11.99,70,$39.99,3,65
"NBA 2KVR Experience",PS4,$7.49,50,$14.99,2.89,74
Nebulous,PS4,$2.99,80,$14.99,3.67,6
Neonwall,PS4,$2.99,70,$9.99,4.5,2
"Neptune Flux",PS4,$7.99,0,,3.34,41
Neverout,PS4,$5.19,35,$7.99,4,7
"NextVR - Live Sports and Entertainment in Virtual Reality",PS4,Free,0,,4.48,460
"No Heroes Allowed! VR",PS4,$29.99,0,,4.93,15
"O! My Genesis VR",PS4,$2.99,0,,3.7,210
"O! My Genesis VR : Planet Corus",PS4,$2.99,0,,4.31,26
"O! My Genesis VR : Planet Dagoh",PS4,$2.99,0,,4.38,40
"ONE PIECE Grand Cruise",PS4,$9.99,0,,4.08,26
"Operation Warcade",PS4,$11.99,40,$19.99,4.47,32
"Out of Ammo",PS4,$14.99,0,,3.35,92
"Paper Dolls",PS4,$16.99,0,,3.22,9
"Paranormal Activity: The Lost Soul",PS4,$29.99,0,,4.18,259
